antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'chicken'}),frozenset({'curd'}),0.027868742899151238,0.03368308494285905,0.0011361358016440553,0.0407673860911271,1.2103222184157438,0.0001974305673212442,1.0073853839470694
frozenset({'curd'}),frozenset({'chicken'}),0.03368308494285905,0.027868742899151238,0.0011361358016440553,0.033730158730158735,1.2103222184157438,0.0001974305673212442,1.006066023775827
frozenset({'whipped/sour cream'}),frozenset({'onions'}),0.043707812604424245,0.02024994987636169,0.0010693042839002875,0.02446483180428135,1.2081428326318873,0.0001842232694552867,1.0043205842960181
frozenset({'onions'}),frozenset({'whipped/sour cream'}),0.02024994987636169,0.043707812604424245,0.0010693042839002875,0.05280528052805281,1.2081428326318873,0.0001842232694552867,1.009604643835747
frozenset({'brown bread'}),frozenset({'beef'}),0.03762614448974136,0.03395041101383412,0.0015371249081066632,0.04085257548845471,1.2033013524286376,0.00025970183781403406,1.0071961455540952
frozenset({'beef'}),frozenset({'brown bread'}),0.03395041101383412,0.03762614448974136,0.0015371249081066632,0.045275590551181105,1.2033013524286376,0.00025970183781403406,1.008012203297343
frozenset({'butter milk'}),frozenset({'shopping bags'}),0.017576689166610975,0.04758404063356279,0.0010024727661565194,0.057034220532319393,1.1985997778442348,0.00016610287464900004,1.010021763360375
frozenset({'shopping bags'}),frozenset({'butter milk'}),0.04758404063356279,0.017576689166610975,0.0010024727661565194,0.021067415730337078,1.1985997778442345,0.00016610287464900004,1.0035658498039786
frozenset({'pork'}),frozenset({'brown bread'}),0.037091492347791216,0.03762614448974136,0.001670787943594199,0.04504504504504505,1.1971740834973519,0.00027517809317607086,1.0077688486947047
frozenset({'brown bread'}),frozenset({'pork'}),0.03762614448974136,0.037091492347791216,0.001670787943594199,0.044404973357015994,1.1971740834973519,0.00027517809317607086,1.007653326781029
frozenset({'domestic eggs'}),frozenset({'coffee'}),0.037091492347791216,0.03161130789280225,0.001403461872619127,0.03783783783783784,1.1969716016227645,0.0002309512878095805,1.0064713934822
frozenset({'coffee'}),frozenset({'domestic eggs'}),0.03161130789280225,0.037091492347791216,0.001403461872619127,0.04439746300211416,1.1969716016227643,0.0002309512878095805,1.0076454073440149
frozenset({'napkins'}),frozenset({'citrus fruit'}),0.022121232373187194,0.05313105660629553,0.001403461872619127,0.0634441087613293,1.1941059111896482,0.00022813742319830106,1.011011678268762
frozenset({'citrus fruit'}),frozenset({'napkins'}),0.05313105660629553,0.022121232373187194,0.001403461872619127,0.02641509433962264,1.1941059111896482,0.00022813742319830106,1.0044103620973077
frozenset({'butter'}),frozenset({'fruit/vegetable juice'}),0.03522020985096572,0.03401724253157789,0.001403461872619127,0.039848197343453504,1.1714117423381039,0.00020536745210575748,1.0060729509601944
frozenset({'fruit/vegetable juice'}),frozenset({'butter'}),0.03401724253157789,0.03522020985096572,0.001403461872619127,0.0412573673870334,1.1714117423381039,0.00020536745210575748,1.00629695324971
frozenset({'beverages'}),frozenset({'soda'}),0.016574216400454454,0.09710619528169484,0.001871282496825503,0.11290322580645162,1.1626778855760054,0.00026182340240190347,1.0178075616824531
frozenset({'soda'}),frozenset({'beverages'}),0.09710619528169484,0.016574216400454454,0.001871282496825503,0.019270474879559536,1.1626778855760054,0.00026182340240190347,1.0027492375930807
frozenset({'red/blush wine'}),frozenset({'rolls/buns'}),0.01049254828577157,0.11000467820624206,0.0013366303548753592,0.12738853503184713,1.158028341240297,0.0001824009571356009,1.0199216461432117
frozenset({'rolls/buns'}),frozenset({'red/blush wine'}),0.11000467820624206,0.01049254828577157,0.0013366303548753592,0.012150668286755772,1.1580283412402967,0.0001824009571356009,1.001678515080947
frozenset({'chocolate'}),frozenset({'pip fruit'}),0.02359152576355009,0.049054334023925686,0.0013366303548753592,0.056657223796033995,1.1549891548502134,0.0001793637699361247,1.0080595197884512
frozenset({'pip fruit'}),frozenset({'chocolate'}),0.049054334023925686,0.02359152576355009,0.0013366303548753592,0.027247956403269755,1.1549891548502134,0.0001793637699361247,1.0037588516660423
frozenset({'rolls/buns'}),"frozenset({'sausage', 'whole milk'})",0.11000467820624206,0.008955423377664907,0.0011361358016440553,0.010328068043742407,1.1532752398396837,0.0001509973347833698,1.0013869693802109
"frozenset({'sausage', 'whole milk'})",frozenset({'rolls/buns'}),0.008955423377664907,0.11000467820624206,0.0011361358016440553,0.12686567164179105,1.1532752398396837,0.0001509973347833698,1.0193108813706289
"frozenset({'soda', 'rolls/buns'})",frozenset({'other vegetables'}),0.008086613646995923,0.12210118291786407,0.0011361358016440553,0.14049586776859505,1.150651160055549,0.00014875070954611025,1.0214015083359465
frozenset({'other vegetables'}),"frozenset({'soda', 'rolls/buns'})",0.12210118291786407,0.008086613646995923,0.0011361358016440553,0.009304871373836891,1.1506511600555487,0.00014875070954611025,1.0012296999264854
frozenset({'meat'}),frozenset({'root vegetables'}),0.016841542471429525,0.06957160997126245,0.0013366303548753592,0.07936507936507937,1.140768186877697,0.00016493713073861284,1.0106377339967323
frozenset({'root vegetables'}),frozenset({'meat'}),0.06957160997126245,0.016841542471429525,0.0013366303548753592,0.019212295869356386,1.1407681868776969,0.00016493713073861284,1.002417193229424
"frozenset({'sausage', 'soda'})",frozenset({'whole milk'}),0.005948005079195348,0.15792287642852368,0.0010693042839002875,0.17977528089887643,1.138373901011379,0.0001299782127822893,1.0266419725734437
frozenset({'whole milk'}),"frozenset({'sausage', 'soda'})",0.15792287642852368,0.005948005079195348,0.0010693042839002875,0.006771053745239104,1.138373901011379,0.0001299782127822893,1.0008286595644915
frozenset({'canned beer'}),frozenset({'salty snack'}),0.04691572545612511,0.018779656485998796,0.0010024727661565194,0.021367521367521368,1.137801502570186,0.00012141155829906072,1.0026443684815558
frozenset({'salty snack'}),frozenset({'canned beer'}),0.018779656485998796,0.04691572545612511,0.0010024727661565194,0.053380782918149475,1.137801502570186,0.00012141155829906072,1.006829628371537
frozenset({'whipped/sour cream'}),frozenset({'curd'}),0.043707812604424245,0.03368308494285905,0.001670787943594199,0.03822629969418961,1.1348811950876174,0.00019857397897281174,1.0047237876746742
frozenset({'curd'}),frozenset({'whipped/sour cream'}),0.03368308494285905,0.043707812604424245,0.001670787943594199,0.04960317460317461,1.1348811950876172,0.00019857397897281174,1.0062030531260338
